Purchases,day_engaged,Acceptance,Family,Income_Category_lower,Income_Category_middle,Income_Category_upper_middle,Income_Category_upper,Customer_Segment_Millennial,Customer_Segment_Gen X,Customer_Segment_Boomer,Customer_Segment_Silent,Education_Grad,Education_PostGrad,Education_Undergrad,clusters
25,849,0,1,0,0,1,0,0,0,1,0,1,0,0,2
6,299,0,3,0,1,0,0,0,0,1,0,1,0,0,1
21,498,0,2,0,0,1,0,0,0,1,0,1,0,0,0
8,325,0,3,1,0,0,0,1,0,0,0,1,0,0,1
19,347,0,3,0,0,1,0,0,1,0,0,0,1,0,0
22,479,0,3,0,0,1,0,0,0,1,0,0,1,0,0
21,779,0,2,0,1,0,0,0,1,0,0,1,0,0,2
10,603,0,3,0,1,0,0,1,0,0,0,0,1,0,1
6,574,0,3,0,1,0,0,0,1,0,0,0,1,0,1
2,294,1,4,1,0,0,0,0,0,0,1,0,1,0,1
4,412,0,3,0,1,0,0,1,0,0,0,1,0,0,1
6,779,0,2,1,0,0,0,0,1,0,0,0,0,1,1
16,412,0,1,0,0,1,0,0,0,1,0,1,0,0,0
15,412,0,3,0,0,1,0,0,0,0,1,0,1,0,0
5,813,0,2,1,0,0,0,1,0,0,0,1,0,0,1
26,768,2,1,0,0,1,0,0,0,0,1,0,1,0,2
9,738,0,4,0,1,0,0,0,1,0,0,1,0,0,1
13,853,0,2,0,1,0,0,0,0,0,1,1,0,0,2
26,644,1,3,0,0,1,0,0,0,0,1,0,1,0,2
8,789,0,2,0,1,0,0,1,0,0,0,0,1,0,1
12,876,0,2,0,1,0,0,1,0,0,0,1,0,0,2
43,725,0,3,1,0,0,0,0,1,0,0,1,0,0,2
17,739,1,3,0,0,1,0,0,0,0,1,0,1,0,2
20,355,0,3,0,0,1,0,0,0,1,0,0,1,0,0
20,654,0,3,0,1,0,0,0,0,0,1,1,0,0,2
8,729,0,1,1,0,0,0,0,1,0,0,1,0,0,1
14,584,0,4,0,1,0,0,0,1,0,0,1,0,0,1
27,680,0,2,0,1,0,0,1,0,0,0,1,0,0,2
9,580,0,3,0,1,0,0,1,0,0,0,1,0,0,1
26,405,1,2,0,0,1,0,0,0,1,0,0,1,0,0
8,224,0,1,1,0,0,0,1,0,0,0,0,1,0,0
11,600,0,2,0,1,0,0,0,0,1,0,0,1,0,1
9,813,1,3,0,1,0,0,0,1,0,0,1,0,0,1
17,794,0,3,0,1,0,0,0,0,0,1,0,1,0,2
18,680,0,2,0,0,1,0,0,0,0,1,0,1,0,2
6,490,0,3,0,1,0,0,0,0,0,1,0,1,0,1
28,366,0,3,0,0,1,0,0,1,0,0,0,1,0,0
9,486,0,3,1,0,0,0,0,1,0,0,0,1,0,1
7,324,0,2,0,1,0,0,0,1,0,0,1,0,0,1
24,699,1,1,0,1,0,0,0,0,0,1,0,1,0,2
